PM,CNS3,RAJ2000,DEJ2000,pmRA,pmDE,Xray,HR1,FUV,NUV,Vmag,n_Vmag,Jmag,Hmag,Kmag,Obs,Date,CaH2,CaH3,TiO5,VO1,TiO6,VO2,Mst,SpT,zeta,logg,Teff,P,M,plx,e_plx,plx2,e_plx2,plx3,e_plx3,Uvel,Vvel,Wvel,EWHa,H,X,U,LSPM,2M,SimbadName
I20301+7950,,307.529663,79.846329,0.098,0.043,0.336,0.19,,,12.3,P,8.48,7.86,7.62,MDM,5094.69,0.478,0.7,0.526,0.949,0.751,0.91,3.11,M3.0,0.92,5.0,3450,,,,,0.058,0.023,0.051,0.015,-8.1,,-5.6,-2.51,Y,Y,,0,2M,PM J20301+7950
I20305+6526,Gl  793,307.633362,65.449516,0.443,0.284,0.13,-0.45,,,10.54,T,6.74,6.14,5.93,MDM,5093.67,0.502,0.745,0.508,0.922,0.785,0.973,2.72,M2.5,1.08,5.0,3600,,,0.1251,0.0011,0.115,0.046,0.113,0.033,-18.3,,-7.9,0.32,,,,1,2M,PM J20305+6526
I20315+5557,,307.88681,55.963417,-0.042,-0.026,,,,,10.12,T,7.26,6.53,6.4,MDM,5690.0,,,,,,,,G/K,,,,,,,,,,,,,,,,,,,0,2M,PM J20315+5557
I20336+6145,GJ 1254,308.417969,61.753792,0.54,0.917,,,,,12.66,P,8.29,7.66,7.4,MDM,5693.98,0.423,0.716,0.398,0.956,0.667,0.809,3.76,M4.0,1.1,5.0,3280,P,,0.063,0.0126,0.077,0.031,0.076,0.022,-79.1,,5.6,0.51,,,,1,2M,PM J20336+6145
I20346+7339,,308.673248,73.659355,0.05,0.033,,,,19.79,11.31,T,8.53,7.91,7.73,MDM,6027.02,0.789,0.891,0.874,0.965,0.97,1.03,-0.55,K7.5,0.99,4.5,3800,,,,,0.024,0.007,0.026,0.008,-10.6,,-4.6,0.51,,,,0,2M,PM J20346+7339
I20347+0320,GJ 4149,308.679321,3.34776,0.313,-0.431,,,,,11.96,T,8.45,7.91,7.63,UH22,5402.98,0.503,0.773,0.519,0.943,0.777,0.892,2.56,M2.5,1.11,4.5,3500,P,,0.0372,0.011,0.05,0.02,0.043,0.013,5.1,,-58.2,0.49,,,,1,2M,PM J20347+0320
I20371+1533,,309.29895,15.55971,0.078,0.013,,,,,11.73,P,8.69,8.08,7.88,UH22,5866.88,0.736,0.87,0.827,0.986,0.945,1.022,-0.07,M0.0,1.01,4.5,3770,,,,,0.025,0.007,0.029,0.009,-10.5,,-10.6,0.54,,,,0,2M,PM J20371+1533
I20373+2156,GJ 4153,309.336761,21.947979,-0.045,-0.296,,,,,11.2,T,8.16,7.55,7.34,MDM,2449.89,0.63,0.806,0.715,0.956,0.867,1.008,1.19,M1.0,0.96,4.5,3560,P,,,,0.041,0.011,0.037,0.011,29.4,,-17.0,-0.3,,,,1,2M,PM J20373+2156
I20384+0643,,309.601471,6.725509,-0.131,-0.052,,,,,11.7,T,8.93,8.26,8.09,UH22,5847.81,0.722,0.862,0.828,0.972,0.952,0.993,-0.02,M0.0,0.92,4.5,3730,,,0.0269,0.0031,0.022,0.006,0.022,0.006,18.9,,13.8,0.55,,,,0,2M,PM J20384+0643
I20396+0458E,Gl  795  A,309.907318,4.971921,0.874,0.091,0.0562,-0.32,20.43,16.26,9.63,T,5.51,4.9,4.74,UH22,5847.81,0.843,0.92,0.915,0.992,0.986,1.008,-1.01,K7.0,,4.5,4140,,,0.0598,0.0034,0.092,0.025,0.238,0.07,-45.6,,-51.4,0.59,,,Y,1,2M,PM J20396+0458E
I20399+0620,,309.977509,6.336631,0.09,-0.1,0.0699,-0.4,,,10.66,T,7.92,7.35,7.13,UH22,5817.95,0.771,0.881,0.857,0.979,0.939,0.974,-0.25,K7.5,1.0,4.5,3920,,,,,0.034,0.009,0.034,0.01,0.1,,-16.9,0.32,,,,0,2M,PM J20399+0620
I20401+7017,,310.036591,70.293137,0.151,-0.015,,,,19.69,11.32,T,8.55,7.94,7.82,MDM,5094.7,,,,,,,,G/K,,,,,,,,0.028,0.008,0.026,0.008,-13.5,,-21.5,,,,,1,2M,PM J20401+7017
