PM,CNS3,RAJ2000,DEJ2000,pmRA,pmDE,Xray,HR1,FUV,NUV,Vmag,n_Vmag,Jmag,Hmag,Kmag,Obs,Date,CaH2,CaH3,TiO5,VO1,TiO6,VO2,Mst,SpT,zeta,logg,Teff,P,M,plx,e_plx,plx2,e_plx2,plx3,e_plx3,Uvel,Vvel,Wvel,EWHa,H,X,U,LSPM,2M,SimbadName
I00006+1829,,0.163528,18.48885,0.335,0.195,,,,20.04,11.28,T,8.44,7.79,7.64,MDM,4791.75,,,,,,,,G/K,,,,,,,,,,,,,,,,,,,1,2M,PM J00006+1829
I00012+1358S,,0.303578,13.972055,0.025,0.144,,,,19.85,11.12,T,8.36,7.71,7.53,UH22,5791.05,0.706,0.864,0.788,0.967,0.944,0.97,0.14,M0.0,1.08,5.0,3790,,,,,0.03,0.008,0.028,0.008,-13.9,12.1,,0.41,,,,0,2M,PM J00012+1358S
I00033+0441,,0.829182,4.68694,-0.024,-0.085,,,,21.18,12.04,T,8.83,8.18,7.98,UH22,5791.05,0.58,0.797,0.679,0.959,0.888,0.939,1.38,M1.5,0.93,4.5,3510,,,0.0342,0.0032,0.031,0.008,0.03,0.009,8.5,-6.8,,0.39,,,,0,2M,PM J00033+0441
I00051+4547,Gl  2,1.295195,45.786587,0.87,-0.151,,,,,9.95,T,6.7,6.1,5.85,MDM,5095.8,0.603,0.824,0.664,0.956,0.911,1.014,1.1,M1.0,1.1,4.5,3560,P,,0.0889,0.0014,0.078,0.021,0.083,0.024,-38.2,,-15.9,0.47,,,,1,2M,PM J00051+4547
I00051+7406,,1.275512,74.105217,0.035,-0.023,,,,,10.63,T,7.75,7.15,6.97,MDM,5812.87,,,,,,,,G/K,,,,,,,,,,,,,,,,,,,0,2M,PM J00051+7406
I00077+6022,,1.927582,60.38176,0.34,-0.027,0.17,-0.41,,,14.26,P,8.91,8.33,8.05,MDM,5838.82,0.364,0.62,0.392,0.905,0.63,0.798,4.6,M4.5,0.9,5.0,3140,,,,,0.078,0.031,0.091,0.027,-15.1,,-4.4,-3.11,Y,,,1,2M,PM J00077+6022
I00078+6736,,1.961682,67.607124,-0.045,-0.091,,,,,12.18,P,8.35,7.72,7.51,MDM,5099.83,0.534,0.789,0.623,0.905,0.806,0.929,2.03,M2.0,0.96,5.0,3500,,,,,0.046,0.012,0.055,0.016,5.1,,-8.5,0.39,,,,0,2M,PM J00078+6736
I00081+4757,,2.026727,47.950695,-0.119,0.003,0.219,-0.27,19.68,18.91,12.7,P,8.52,8.0,7.68,MDM,5098.84,0.41,0.7,0.42,0.871,0.684,0.814,3.8,M4.0,1.01,5.0,3280,,,,,0.071,0.028,0.061,0.018,7.9,,1.8,-2.93,Y,,Y,0,2M,PM J00081+4757
I00084+1725,GJ 3008,2.113679,17.424309,-0.093,-0.064,,,,19.24,10.73,T,7.81,7.16,6.98,UH22,5791.06,0.671,0.842,0.785,0.97,0.947,0.97,0.34,M0.5,0.91,4.5,3600,P,,0.046,0.0019,0.04,0.011,0.04,0.012,11.2,0.7,,0.41,,,,0,2M,PM J00084+1725
I00088+2050,GJ 3010,2.224675,20.840403,-0.065,-0.247,0.0899,-0.28,21.07,16.71,13.9,P,8.87,8.26,8.01,MDM,4413.72,0.372,0.646,0.356,0.893,0.602,0.793,4.58,M4.5,0.99,5.0,3130,P,,,,0.078,0.031,0.08,0.024,9.5,,-10.1,-4.64,Y,,Y,1,2M,PM J00088+2050
I00110+0512,,2.769255,5.208822,0.241,0.061,,,22.85,20.58,11.55,T,8.53,7.88,7.69,UH22,5050.03,0.653,0.839,0.706,0.962,0.893,0.925,0.86,M1.0,1.16,4.5,3660,,,0.0233,0.0038,0.032,0.009,0.031,0.009,-48.5,-14.3,,0.35,,,,1,2M,PM J00110+0512
I00113+5837,,2.841032,58.617561,0.056,0.029,,,,,11.21,T,8.02,7.31,7.13,MDM,5811.9,,,,,,,,G/K,,,,,,,,,,,,,,,,,,,0,2M,PM J00113+5837
I00118+2259,,2.970996,22.984573,0.142,-0.221,0.411,0.28,,22.37,13.09,P,8.86,8.31,7.99,UH22,5050.03,0.439,0.729,0.424,0.923,0.694,0.798,3.5,M3.5,1.1,4.5,3260,,M,,,0.055,0.022,0.054,0.016,-3.0,,-16.7,0.3,,Y,,1,2M,PM J00118+2259
I00125+2142En,,3.139604,21.713478,0.189,-0.29,,,,,11.67,T,8.84,8.28,8.04,UH22,5791.06,0.721,0.865,0.851,0.973,0.967,0.988,-0.18,M0.0,0.8,4.5,3690,,,0.0358,0.0028,0.023,0.006,0.024,0.007,-5.9,,-32.5,0.44,,,,1,2M,PM J00125+2142En
I00131+7023,,3.29813,70.398003,0.045,0.139,,,,19.93,11.37,T,8.26,7.59,7.39,MDM,5812.89,0.643,0.816,0.754,0.973,0.883,1.038,0.93,M1.0,0.88,4.5,3570,,,,,0.037,0.01,0.037,0.011,-6.2,,16.8,0.37,,,,0,2M,PM J00131+7023
I00132+6919N,Gl  11 AB,3.316042,69.327118,0.717,-0.292,,,,22.06,13.36,T,8.56,7.98,7.75,MDM,5838.83,0.45,0.722,0.508,0.94,0.724,0.897,3.21,M3.0,0.94,5.0,3400,P,,0.0499,0.006,0.058,0.023,0.083,0.024,-57.2,,-37.3,0.27,,,Y,1,2M,PM J00132+6919N
I00132+6919S,Gl  11 AB,3.315648,69.32692,0.717,-0.292,,,,22.06,12.49,T,8.56,7.98,7.75,MDM,5812.91,0.44,0.707,0.487,0.94,0.739,0.919,3.34,M3.5,0.94,5.0,3400,P,,0.0499,0.006,0.06,0.024,0.053,0.015,-57.2,,-37.3,0.39,,,,1,2M,PM J00132+6919S
I00136+8039,GJ 3014 A,3.411088,80.665756,0.251,0.182,0.0279,-0.25,,,11.14,T,7.76,7.13,6.9,MDM,5813.87,0.57,0.789,0.622,0.957,0.847,1.027,1.77,M2.0,1.05,4.5,3560,,,0.051,0.0018,0.056,0.015,0.055,0.016,-19.8,,12.5,0.13,,,,1,2M,PM J00136+8039
I00149+3315,,3.746062,33.261505,0.118,-0.039,,,,,11.45,T,8.58,7.93,7.81,MDM,5812.8,,,,,,,,G/K,,,,,,,,,,,,,,,,,,,0,2M,PM J00149+3315
I00156+7217,,3.902023,72.283562,0.317,0.186,,,,21.49,12.7,P,8.84,8.25,7.99,MDM,4412.71,0.532,0.777,0.603,0.956,0.818,0.971,2.11,M2.0,0.98,4.5,3480,,,,,0.037,0.01,0.044,0.013,-36.1,,17.6,0.22,,,,1,2M,PM J00156+7217
I00158+1333,Gl  12,3.955207,13.556196,0.615,0.341,,,,,13.03,P,8.62,8.07,7.81,UH22,5791.11,0.439,0.693,0.501,0.934,0.77,0.867,3.29,M3.5,0.9,5.0,3220,P,,0.0859,0.0026,0.057,0.023,0.066,0.02,-37.8,-4.6,,0.37,,,,1,2M,PM J00158+1333
I00162+1951E,GJ 1006 B,4.067259,19.864059,0.704,-0.74,,,,,13.55,P,8.89,8.34,8.1,UH22,5790.04,0.411,0.713,0.388,0.903,0.639,0.754,3.91,M4.0,1.09,4.5,3100,P,,0.066,0.0132,0.062,0.025,0.067,0.02,-21.8,,-45.6,0.32,,,,1,2M,PM J00162+1951E
I00162+1951W,GJ 1006 A,4.060864,19.860563,0.721,-0.753,0.35,-0.28,20.54,18.69,11.79,T,7.88,7.32,7.09,MDM,5846.8,0.405,0.696,0.382,0.929,0.646,0.858,4.02,M4.0,1.06,5.0,3250,P,,0.0613,0.0131,0.102,0.041,0.071,0.021,-24.2,,-50.0,-4.01,Y,,Y,1,2M,PM J00162+1951W
I00173+2910,GJ 3023,4.334573,29.182947,0.691,0.429,,,,,11.54,T,8.15,7.5,7.24,UH22,5791.11,0.551,0.786,0.626,0.957,0.85,0.912,1.82,M2.0,0.99,5.0,3530,P,,0.0431,0.0023,0.047,0.013,0.046,0.014,-83.0,,29.0,0.33,,,,1,2M,PM J00173+2910
I00179+2057W,,4.494271,20.955217,-0.276,-0.376,,,,,12.16,P,8.69,8.06,7.83,MDM,4790.7,0.648,0.831,0.702,0.951,0.909,0.967,0.85,M1.0,1.13,4.5,3630,,,,,0.03,0.008,0.038,0.011,63.0,,-39.0,0.52,,,,1,2M,PM J00179+2057W
I00184+4401,Gl  15  B,4.607785,44.027344,2.912,0.351,,,,,11.33,P,6.79,6.19,5.95,MDM,5095.8,0.403,0.694,0.415,0.906,0.728,0.835,3.75,M3.5,1.0,5.0,3260,,,0.2806,0.0561,0.154,0.062,0.165,0.048,-44.2,,-0.7,0.63,,,,1,2M,PM J00184+4401
I00207+5936,,5.198862,59.604836,-0.013,-0.109,,,,,12.8,P,8.94,8.33,8.12,MDM,5811.91,0.511,0.75,0.567,0.959,0.795,1.023,2.48,M2.5,0.97,4.5,3530,,,,,0.039,0.011,0.042,0.012,3.1,,-12.9,0.2,,,,0,2M,PM J00207+5936
I00209+1738,,5.238289,17.637739,0.035,-0.086,,,,19.75,11.32,T,8.37,7.73,7.54,UH22,5791.12,0.696,0.855,0.803,0.972,0.953,0.978,0.13,M0.0,0.94,4.5,3670,,,,,0.03,0.008,0.032,0.009,0.9,-10.6,,0.35,,,,0,2M,PM J00209+1738
I00218+3816,,5.474729,38.274837,0.617,-0.325,,,,,13.04,P,8.95,8.34,8.11,MDM,4011.83,0.462,0.734,0.467,0.957,0.715,0.914,3.22,M3.0,1.06,5.0,3400,,,,,0.048,0.019,0.048,0.014,-43.2,,-36.0,0.71,,,,1,2M,PM J00218+3816
I00232+5445,,5.812493,54.75201,0.338,-0.045,,,,,11.75,T,8.85,8.22,8.01,MDM,4794.68,0.747,0.88,0.785,0.962,0.944,0.989,-0.04,M0.0,1.36,4.5,3840,,,,,0.023,0.006,0.025,0.007,-58.6,,-16.7,0.58,,,,1,2M,PM J00232+5445
I00234+7711,GJ 1010 A,5.870607,77.189285,-0.841,0.045,0.0114,-0.61,,,11.31,T,8.04,7.39,7.19,MDM,5812.92,0.567,0.78,0.643,0.971,0.842,1.026,1.79,M2.0,0.96,4.5,3560,P,,0.052,0.002,0.05,0.013,0.045,0.013,66.3,,12.2,0.41,,,,1,2M,PM J00234+7711
I00235+2014,,5.894433,20.24132,0.063,-0.038,0.176,-0.12,,,11.0,T,8.14,7.5,7.34,UH22,5791.12,0.809,0.902,0.88,0.979,0.955,0.974,-0.59,K7.5,1.07,4.5,3930,,,,,0.029,0.008,0.033,0.01,-6.4,,-5.7,-0.23,,,,0,2M,PM J00235+2014
I00244+3603,,6.107944,36.06493,0.289,0.023,,,23.63,20.81,12.03,P,8.89,8.25,8.04,UH22,5050.06,0.627,0.823,0.723,0.961,0.907,0.954,0.91,M1.0,0.97,4.5,3500,,,,,0.027,0.007,0.028,0.008,-44.5,,-1.7,0.54,,,,1,2M,PM J00244+3603
I00268+7008,Gl  21,6.71966,70.142441,-0.135,-0.148,,,21.78,19.24,10.52,T,7.41,6.74,6.57,MDM,5094.84,0.656,0.808,0.725,0.971,0.907,1.019,0.9,M1.0,1.0,4.5,3580,P,,0.0607,0.0014,0.054,0.015,0.055,0.016,9.3,,-10.4,0.52,,,,1,2M,PM J00268+7008
I00288+5022,GJ 3036,7.224878,50.375877,0.421,0.127,0.232,-0.24,,,13.15,P,8.85,8.29,7.99,MDM,4109.56,0.389,0.648,0.403,0.94,0.666,0.749,4.25,M4.0,0.94,5.0,3150,P,,,,0.07,0.028,0.056,0.017,-32.4,,7.3,-5.35,Y,Y,,1,2M,PM J00288+5022
I00294+5729,,7.354886,57.485836,0.166,0.035,,,,,12.03,P,8.98,8.33,8.14,MDM,5095.82,0.011,0.07,,-0.012,0.04,0.005,-0.5,G/K,1.93,0.0,0,,,,,,,,,,,,,,,,1,2M,PM J00294+5729
I00313+3337,,7.833742,33.62709,0.219,0.015,,,,,11.56,P,8.75,8.07,7.9,MDM,4789.68,0.749,0.88,0.808,0.964,0.962,1.004,-0.2,M0.0,1.22,4.5,3850,,,,,0.023,0.006,0.024,0.007,-38.9,,-0.8,0.45,,,,1,2M,PM J00313+3337
I00324+6714,Gl  22  AC,8.122017,67.235703,1.739,-0.225,,,,,10.27,T,6.84,6.27,6.04,MDM,5812.94,0.52,0.75,0.617,0.954,0.824,1.012,2.24,M2.0,0.88,4.5,3470,,,0.0993,0.0022,0.096,0.026,0.087,0.026,-70.9,,-16.8,0.22,,,,2,2M,PM J00324+6714
I00325+0729,GJ 3039,8.145008,7.490874,0.092,-0.055,0.287,,20.3,18.79,12.8,P,8.4,7.79,7.51,UH22,5791.13,0.416,0.699,0.405,0.906,0.642,0.757,3.91,M4.0,1.05,4.5,3150,P,,,,0.077,0.031,0.073,0.021,-3.5,-5.5,,-3.97,Y,,Y,0,2M,PM J00325+0729
I00329+6744,,8.246092,67.742088,0.042,-0.011,,,,,10.66,T,7.85,7.23,7.08,MDM,5812.95,,,,,,,,G/K,,,,,,,,,,,,,,,,,,,0,2M,PM J00329+6744
I00333+3650,,8.335527,36.84066,0.498,0.135,,,,21.88,12.68,P,8.77,8.09,7.85,MDM,2899.98,0.469,0.74,0.473,0.959,0.719,0.915,3.15,M3.0,1.08,5.0,3400,,M,,,0.051,0.021,0.047,0.014,-46.6,,8.6,0.25,,,,1,2M,PM J00333+3650
I00341+2523,,8.535353,25.397142,0.094,-0.097,0.174,-0.21,20.76,18.57,11.35,T,8.48,7.83,7.66,UH22,5791.14,0.758,0.876,0.85,0.977,0.951,0.983,-0.24,M0.0,0.97,5.0,3850,,,,,0.026,0.007,0.029,0.008,-8.2,,-15.0,-0.82,Y,,Y,0,2M,PM J00341+2523
I00358+5241S,,8.972158,52.686714,0.785,-0.184,,,,,12.9,P,8.93,8.35,8.1,MDM,5847.86,0.499,0.754,0.541,0.934,0.787,0.876,2.6,M2.5,1.02,5.0,3530,,,0.0621,0.0124,0.041,0.016,0.045,0.013,-49.2,,-17.4,0.33,,,,1,2M,PM J00358+5241S
I00361+4530,GJ 3042,9.035221,45.515949,-0.231,-0.142,,,,,11.76,P,8.17,7.58,7.36,MDM,5095.83,0.516,0.774,0.553,0.946,0.851,0.983,2.17,M2.0,1.07,4.5,3520,P,,0.0439,0.0088,0.051,0.014,0.052,0.015,24.4,,-13.1,0.52,,,,1,2M,PM J00361+4530
I00374+5133,,9.358173,51.552032,-0.498,-0.025,,,,,11.54,T,8.43,7.8,7.62,MDM,2657.56,0.683,0.838,0.778,0.966,0.888,0.988,0.63,M0.5,0.96,4.5,3650,,,,,0.032,0.009,0.034,0.01,64.0,,0.4,0.02,,,,1,2M,PM J00374+5133
I00382+5219,GJ 3044,9.56373,52.332111,-0.074,-0.137,,,,,10.48,T,7.71,7.06,6.92,MDM,5811.96,0.743,0.86,0.868,0.993,0.954,1.093,-0.18,M0.0,0.76,4.5,3830,P,,0.0422,0.0019,0.038,0.01,0.038,0.011,9.2,,-14.7,0.47,,,,1,2M,PM J00382+5219
I00385+5127,GJ 3045,9.64107,51.466106,-0.236,0.018,,,,,12.95,P,8.89,8.34,8.06,MDM,5811.97,0.474,0.723,0.53,0.95,0.78,0.964,2.9,M3.0,0.94,5.0,3530,P,,0.0643,0.0129,0.045,0.018,0.049,0.014,14.6,,2.2,0.55,,,,1,2M,PM J00385+5127
I00389+3036,Gl  26,9.745897,30.616238,1.556,0.032,,,,20.69,11.37,T,7.45,6.86,6.61,MDM,5812.81,0.526,0.773,0.546,0.959,0.776,1.011,2.43,M2.5,1.1,5.0,3690,,,0.0801,0.016,0.077,0.021,0.087,0.026,-79.0,,-2.9,0.5,,,,1,2M,PM J00389+3036
I00427+4349,,10.699197,43.823563,-0.022,-0.042,,,,21.53,12.5,P,8.49,7.91,7.63,MDM,5815.87,0.498,0.746,0.532,0.951,0.785,0.984,2.67,M2.5,1.02,5.0,3600,,,,,0.051,0.02,0.057,0.017,2.3,,-3.3,0.36,,,,0,2M,PM J00427+4349
I00428+3532,Gl  29.1,10.701005,35.548775,0.265,0.074,1.02,-0.2,18.91,17.25,10.37,T,7.16,6.51,6.32,MDM,5838.84,0.587,0.788,0.711,0.954,0.845,0.97,1.51,M1.5,0.83,4.5,3560,P,,0.0429,0.0029,0.069,0.019,0.065,0.019,-27.0,,6.3,-1.34,Y,,Y,1,2M,PM J00428+3532
I00429+2239,,10.736437,22.659616,0.401,0.018,,,,20.09,11.55,T,8.62,8.01,7.82,MDM,4790.71,0.745,0.872,0.835,0.952,0.942,0.955,-0.1,M0.0,1.0,4.5,3700,,,0.0346,0.003,0.025,0.007,0.028,0.008,-47.5,,0.1,0.47,,,,1,2M,PM J00429+2239
I00443+1237,GJ 3051,11.080602,12.617407,0.279,-0.174,,,,,12.95,P,8.87,8.3,8.08,UH22,5791.14,0.438,0.735,0.439,0.928,0.701,0.824,3.41,M3.5,1.08,4.5,3290,P,,,,0.053,0.021,0.05,0.015,-15.5,-24.9,,0.31,,,,1,2M,PM J00443+1237
I00458+5233,,11.472727,52.55616,0.041,0.003,,,,,11.08,T,8.36,7.77,7.64,MDM,5812.0,,,,,,,,G/K,,,,,,,,,,,,,,,,,,,0,2M,PM J00458+5233
I00463+3522,,11.591003,35.370094,-0.066,-0.094,,,,21.56,12.7,P,8.93,8.25,8.01,MDM,5815.88,0.591,0.79,0.669,0.967,0.857,1.02,1.54,M1.5,0.97,4.5,3550,,,,,0.031,0.008,0.04,0.012,12.3,,-12.6,-0.94,Y,,,0,2M,PM J00463+3522
I00468+1603,,11.722022,16.050776,-0.102,-0.038,,,,,11.99,P,8.36,7.8,7.58,MDM,4791.77,0.542,0.785,0.582,0.937,0.836,0.931,2.02,M2.0,1.08,4.5,3520,,,,,0.045,0.012,0.049,0.014,10.6,3.3,,0.54,,,,0,2M,PM J00468+1603
I00478+0601,,11.951984,6.031913,0.055,-0.034,,,,19.7,11.73,T,8.9,8.22,8.01,UH22,5796.02,0.736,0.86,0.848,0.978,0.965,0.988,-0.17,M0.0,0.86,4.5,3730,,,0.0193,0.0037,0.022,0.006,0.023,0.007,-7.6,-13.1,,0.2,,,,0,2M,PM J00478+0601
I00483+7116,,12.087468,71.269829,0.217,-0.097,0.151,-0.04,,,11.39,T,8.26,7.62,7.46,MDM,5812.95,0.735,0.863,0.844,0.989,0.91,1.114,0.1,M0.0,0.88,4.5,3840,,,,,0.031,0.008,0.038,0.011,-29.0,,-15.1,-0.23,,,,1,2M,PM J00483+7116
I00485+4244,,12.127769,42.74968,-0.113,0.001,,,,20.77,12.05,P,9.0,8.34,8.17,UH22,5954.72,0.762,0.889,0.878,0.977,0.969,0.982,-0.48,K7.5,0.85,4.5,3780,,,,,0.02,0.005,0.025,0.007,22.6,,0.5,0.54,,,,0,2M,PM J00485+4244
I00487+2701,GJ 3057,12.189729,27.019182,-0.144,-0.289,,,,,12.16,P,8.77,8.19,7.98,UH22,5796.06,0.505,0.753,0.558,0.947,0.823,0.902,2.42,M2.5,0.99,5.0,3480,P,,,,0.042,0.011,0.035,0.01,29.2,,-31.7,0.37,,,,1,2M,PM J00487+2701
I00505+2449S,GJ 3060 A,12.63848,24.816727,0.198,-0.042,0.444,,19.93,18.49,12.01,T,7.95,7.35,7.12,UH22,6195.93,0.405,0.651,0.439,0.0,0.69,0.0,4.02,M4.0,0.91,4.9,3246,P,M,0.0844,0.0047,0.098,0.026,0.074,0.022,-13.1,,8.7,-3.53,Y,Y,Y,2,2M,PM J00505+2449S
I00511+2234,,12.794481,22.579342,0.043,-0.088,,,,,11.62,P,8.26,7.69,7.45,UH22,5796.05,0.561,0.782,0.648,0.955,0.874,0.941,1.66,M1.5,0.94,4.5,3470,,,,,0.043,0.012,0.043,0.013,-0.6,-7.8,,0.48,,,,0,2M,PM J00511+2234
I00514+5818,Gl  38,12.873904,58.301968,1.567,0.405,,,,,10.66,T,7.83,7.24,7.05,MDM,5838.84,0.717,0.861,0.847,0.974,0.898,1.024,0.21,M0.0,0.8,4.5,3660,,,0.054,0.0026,0.039,0.01,0.038,0.011,-117.0,,35.5,0.45,,,,1,2M,PM J00514+5818
I00520+2034,,13.000231,20.58289,0.177,-0.106,,,,20.42,11.53,T,8.49,7.82,7.63,MDM,5182.66,0.63,0.803,0.723,0.977,0.914,0.939,0.98,M1.0,0.93,4.5,3560,,,0.0314,0.0031,0.033,0.009,0.032,0.009,-16.6,-23.6,,0.54,,,,1,2M,PM J00520+2034
I00521+0648,,13.03901,6.80301,0.038,-0.024,,,,21.09,11.8,T,8.94,8.31,8.11,UH22,5796.02,0.71,0.857,0.822,0.977,0.961,0.985,0.0,M0.0,0.9,4.5,3650,,,0.0364,0.0032,0.022,0.006,0.023,0.007,-2.7,-4.9,,0.46,,,,0,2M,PM J00521+0648
I00532+1903,,13.304018,19.057442,-0.104,-0.126,,,,,12.49,P,8.79,8.2,7.91,UH22,5796.04,0.494,0.74,0.545,0.945,0.807,0.894,2.61,M2.5,0.97,4.5,3450,,,,,0.044,0.017,0.041,0.012,15.3,-1.9,,0.4,,,,1,2M,PM J00532+1903
I00538+4556,,13.471821,45.944561,0.304,0.07,,,,19.85,11.11,T,8.31,7.7,7.45,MDM,4793.67,0.759,0.885,0.799,0.955,0.956,1.001,-0.19,M0.0,1.35,4.5,3850,,,0.0373,0.0023,0.029,0.008,0.03,0.009,-33.7,,8.9,0.6,,,,1,2M,PM J00538+4556
I00560+4153W,,14.020239,41.890011,-0.085,0.003,0.303,-0.04,20.9,18.23,11.55,T,8.76,8.08,7.95,MDM,5818.9,0.801,0.873,0.887,0.99,0.928,1.058,-0.29,K7.5,0.86,4.5,3860,,,,,0.023,0.006,0.024,0.007,14.5,,0.3,-1.03,Y,Y,Y,0,2M,PM J00560+4153W
I00560+7257,,14.003306,72.956863,0.007,-0.041,,,,19.79,10.99,T,8.27,7.63,7.49,MDM,5812.96,,,,,,,,G/K,,,,,,,,,,,,,,,,,,,0,2M,PM J00560+7257
I00570+4505,,14.26117,45.086075,0.625,-0.056,,,,21.68,11.8,P,8.1,7.46,7.24,MDM,4011.84,0.458,0.72,0.492,0.941,0.743,0.891,3.18,M3.0,0.98,5.0,3380,,,,,0.071,0.028,0.057,0.017,-42.6,,-3.3,0.45,,,,1,2M,PM J00570+4505
I00577+0551,,14.435628,5.855731,-0.056,0.001,,,,18.9,10.43,T,7.48,6.88,6.64,UH22,5796.03,0.727,0.866,0.838,0.977,0.968,0.994,-0.17,M0.0,0.9,4.5,3700,,,,,0.042,0.011,0.048,0.014,5.2,3.6,,0.42,,,,0,2M,PM J00577+0551
I01007+2356,,15.194573,23.948408,0.129,0.012,,,22.17,19.71,11.5,T,8.69,8.03,7.86,UH22,5796.05,0.784,0.89,0.89,0.975,0.974,1.0,-0.59,K7.5,0.84,4.5,3900,,,,,0.023,0.006,0.025,0.007,-23.3,,2.9,0.34,,,,0,2M,PM J01007+2356
I01013+6121,Gl  47,15.33342,61.365776,0.368,-0.823,,,,,10.92,P,7.27,6.71,6.48,MDM,4794.69,0.526,0.77,0.568,0.932,0.836,0.918,2.18,M2.0,1.04,4.5,3470,P,,0.0909,0.0182,0.078,0.021,0.081,0.024,-16.6,,-42.1,0.41,,,,1,2M,PM J01013+6121
I01025+7140,Gl  48,15.633533,71.679871,1.746,-0.38,,,,,9.98,T,6.3,5.7,5.45,MDM,5093.86,0.485,0.747,0.491,0.934,0.737,0.904,2.95,M3.0,1.08,5.0,3400,,,0.1214,0.0012,0.151,0.06,0.129,0.038,-58.1,,-11.7,0.42,,,,1,2M,PM J01025+7140
I01026+6220,Gl  49,15.661725,62.345036,0.73,0.089,,,,,9.56,T,6.23,5.58,5.37,MDM,4795.68,0.575,0.791,0.632,0.949,0.864,0.943,1.65,M1.5,1.04,4.5,3590,P,,0.1004,0.0015,0.11,0.03,0.108,0.032,-28.3,,5.7,0.26,,,,1,2M,PM J01026+6220
I01032+2005W,GJ 1026 A,15.808882,20.097837,0.672,0.044,0.146,,21.11,19.78,11.36,T,7.67,7.09,6.83,UH22,6116.13,0.524,0.788,0.624,0.0,0.845,0.0,1.92,M2.0,0.95,4.5,3291,P,M,0.0616,0.0033,0.061,0.016,0.068,0.02,-61.0,0.9,,0.55,Y,Y,,2,2M,PM J01032+2005W
I01033+6221,Gl  51,15.832594,62.365498,0.737,0.087,0.227,-0.19,,,13.64,P,8.61,8.01,7.72,UH22,5790.07,0.347,0.619,0.317,0.873,0.517,0.675,5.07,M5.0,1.0,4.5,2940,P,,,,0.106,0.042,0.091,0.027,-31.7,,6.3,-8.06,Y,,,1,2M,PM J01033+6221
I01036+4051,,15.91716,40.858143,0.122,-0.167,0.482,-0.34,19.9,17.82,10.89,T,8.13,7.47,7.32,MDM,5846.88,0.757,0.87,0.87,0.987,0.933,0.981,-0.16,M0.0,0.82,4.5,3690,,,0.0334,0.0023,0.031,0.008,0.031,0.009,-10.1,,-21.1,-0.99,Y,Y,Y,1,2M,PM J01036+4051
I01041+1051E,,16.045973,10.860083,0.023,-0.07,,,,20.6,11.96,T,8.92,8.29,8.06,UH22,5847.9,0.622,0.817,0.717,0.969,0.915,0.958,0.94,M1.0,0.96,4.5,3530,,,,,0.027,0.007,0.026,0.008,1.8,-10.5,,0.46,,,,0,2M,PM J01041+1051E
I01065+1152,,16.644846,11.869453,0.061,-0.038,,,,20.42,11.87,P,8.98,8.38,8.14,UH22,5050.12,0.758,0.881,0.847,0.982,0.986,0.979,-0.45,K7.5,1.01,5.0,3900,,,,,0.02,0.005,0.023,0.007,-8.1,-14.0,,0.58,,,,0,2M,PM J01065+1152
I01066+1516,GJ 1030,16.672968,15.272833,-0.112,-0.254,,,,,11.45,T,8.01,7.37,7.16,UH22,5796.04,0.549,0.786,0.605,0.962,0.839,0.913,1.92,M2.0,1.04,5.0,3440,P,,0.0452,0.0023,0.052,0.014,0.051,0.015,19.9,-10.1,,0.36,,,,1,2M,PM J01066+1516
I01078+1252,,16.967607,12.881063,0.282,-0.011,,,,20.92,12.48,P,8.79,8.18,7.95,UH22,5796.08,0.56,0.785,0.638,0.955,0.869,0.929,1.69,M1.5,0.97,5.0,3550,,,,,0.034,0.009,0.041,0.012,-31.4,-23.3,,0.31,,,,1,2M,PM J01078+1252
I01116+1205W,,17.902767,12.085214,-0.005,-0.283,,,,,12.46,P,8.91,8.32,8.09,UH22,5796.08,0.537,0.764,0.635,0.955,0.871,0.939,1.88,M2.0,0.89,4.5,3460,,,,,0.034,0.009,0.036,0.011,16.6,-25.8,,0.36,,,,1,2M,PM J01116+1205W
I01119+0455,GJ 3077 A,17.981709,4.918133,0.369,-0.523,,,,23.32,13.0,P,8.8,8.24,7.95,UH22,5817.0,0.433,0.697,0.481,0.932,0.738,0.827,3.44,M3.5,0.93,5.0,3280,P,,0.0628,0.0126,0.055,0.022,0.055,0.016,-4.7,-44.3,,0.23,,,,1,2M,PM J01119+0455
I01133+5855,,18.332388,58.922882,0.15,-0.117,0.203,-0.25,,,11.57,P,8.41,7.77,7.57,MDM,4011.86,0.607,0.798,0.711,0.974,0.868,1.015,1.3,M1.5,0.9,4.5,3560,,,,,0.037,0.01,0.036,0.01,-16.0,,-13.2,-0.83,Y,,,1,2M,PM J01133+5855
I01148+2519,,18.705914,25.316814,0.374,-0.195,,,23.97,20.8,11.86,T,8.83,8.17,7.95,MDM,4790.73,0.571,0.8,0.611,0.939,0.846,0.935,1.73,M1.5,1.11,5.0,3610,,M,,,0.034,0.009,0.027,0.008,-42.9,,-21.0,0.4,,,,1,2M,PM J01148+2519
I01161+6009,,19.042156,60.153561,0.376,-0.201,,,,,11.42,T,8.33,7.67,7.44,MDM,4794.7,0.676,0.844,0.744,0.959,0.928,0.968,0.51,M0.5,1.11,4.5,3640,,,,,0.032,0.009,0.035,0.01,-45.8,,-23.9,0.54,,,,1,2M,PM J01161+6009
