Star,HIP,[Fe/H],e_[Fe/H],Teff,e_Teff,l_Rad,Rad,e_Rad,l_Lum,Lum,e_Lum,l_Mass,Mass,e_Mass,STeff,SimbadName,_RA,_DE
LHS 462,,-0.17,0.09,3445,73,,0.35,0.05,,0.0163,0.0055,,0.35,0.07," K-band",LHS 462,274.51783,38.77617
LHS 5087,18280,0.21,0.09,4232,73,,0.65,0.04,,0.1227,0.0169,,0.68,0.07," K-band",LHS 5087,58.64778,-6.82601
LHS 517,109388,0.35,0.09,3590,76,,0.44,0.05,,0.0281,0.0071,,0.46,0.07,Visible,LHS 517,332.4181,-4.64073
LHS 5324,18226,0.0,0.08,3421,73,,0.33,0.05,,0.0146,0.0053,,0.33,0.07," K-band",LHS 5324,256.7812,21.55402
LHS 533,113296,0.17,0.08,3786,87,,0.52,0.05,,0.0489,0.0109,,0.56,0.07,Visible,LHS 533,344.14502,16.55343
LHS 543,115332,0.19,0.08,3328,73,,0.26,0.06,,0.0085,0.0045,,0.24,0.08," K-band",LHS 543,350.40604,17.29039
LHS 6128,36834,-0.37,0.08,3687,84,,0.48,0.05,,0.0376,0.0091,,0.51,0.07,Visible,LHS 6128,113.6143,62.9415
LHS 6399,109555,0.26,0.1,3653,73,,0.47,0.04,,0.0341,0.0076,,0.49,0.06," K-band",LHS 6399,332.87539,18.42619
LHS 65,104432,-0.45,0.09,3561,80,,0.42,0.05,,0.0256,0.0072,,0.44,0.07,Visible,LHS 65,317.32261,-13.3025
LP 715-52,21556,-0.04,0.08,3743,88,,0.51,0.05,,0.0438,0.0103,,0.54,0.07,Visible,LP 715-52,69.42444,-11.03887
LP 838-16,29052,-0.15,0.08,3404,66,,0.32,0.05,,0.0134,0.0047,,0.31,0.07,Visible,LP 838-16,91.93224,-25.74486
LTT 15087,18563,0.03,0.08,3340,73,,0.27,0.06,,0.0092,0.0046,,0.25,0.08," K-band",LTT 15087,257.89478,38.44276
LTT 7072,21425,0.12,0.08,3664,95,,0.47,0.05,,0.0352,0.0099,,0.5,0.07,Visible,LTT 7072,266.55209,-32.10353
MCC 541,45343,-0.06,0.08,3990,88,,0.59,0.04,,0.0774,0.0147,,0.63,0.07,Visible,MCC 541,138.59487,52.68661
Ross 248,,0.29,0.08,3067,60,<,0.19,,<,0.0033,,<,0.14,,Visible,Ross 248,355.47912,44.17799
Ross 731,28363,-0.35,0.08,3480,73,,0.37,0.05,,0.0189,0.0058,,0.38,0.07," K-band",Ross 731,286.80501,20.87701
SZ UMa,55360,-0.41,0.08,3807,73,,0.53,0.04,,0.0514,0.0095,,0.57,0.07," K-band",SZ UMa,170.02012,65.84648
TZ Ari,,-0.1,0.08,3276,73,,0.22,0.07,,0.0054,0.0042,,0.18,0.09," K-band",TZ Ari,30.054,13.05195
V1216 Sgr,26867,-0.12,0.08,3272,65,,0.22,0.06,,0.0052,0.0037,,0.18,0.08,Visible,V1216 Sgr,282.45568,-23.83623
V1352 Ori,26857,-0.21,0.08,3321,72,,0.26,0.06,,0.008,0.0045,,0.23,0.08,Visible,V1352 Ori,85.53862,12.48934
V2306 Oph,15288,-0.02,0.08,3442,71,,0.35,0.05,,0.0161,0.0053,,0.35,0.07,Visible,V2306 Oph,247.57524,-12.66259
V2689 Ori,26335,0.05,0.08,3895,98,,0.56,0.05,,0.0632,0.0142,,0.6,0.07,Visible,V2689 Ori,84.12912,11.32787
VX Ari,12781,-0.1,0.08,3485,81,,0.38,0.06,,0.0193,0.0064,,0.38,0.07,Visible,VX Ari,41.06462,25.52336
YZ CMi,37766,0.23,0.08,3280,73,,0.22,0.06,,0.0056,0.0042,,0.19,0.08," K-band",YZ CMi,116.16739,3.55245
YZ Cet,5643,-0.26,0.08,3124,60,<,0.19,,<,0.0033,,<,0.14,,Visible,YZ Cet,18.12766,-16.99898
rho Cnc B,,0.21,0.08,3277,61,,0.22,0.06,,0.0055,0.0035,,0.19,0.07,Visible,rho Cnc B,133.17019,28.31637
