_RAJ2000,_DEJ2000,recno,Name,f_Name,SpType,f_SpType,JMAG,i-z,zmag,z-J,Z-J,Jmag,J-K,J-H,H-K,J-K,_RA,_DE
187.063458,-15.792833,37,DENIS-P J1228.2-1547AB,"b,m",L6{+/-}2,,12.75,,,,1.73,14.28,1.57,0.88,0.69,1.5699999,187.0635,-15.7928
7.625542,-14.842583,47,2MASS J00303013-1450333,,L7,c,14.26,,,,1.74,16.39,1.9,1.02,0.88,1.9,7.6255,-14.8426
161.039292,4.493778,48,SDSS J104409.43+042937.6,,L7,,,2.94,18.73,2.89,,15.84,1.52,0.87,0.65,1.52,161.0393,4.4938
142.390167,34.497972,50,2MASS J09293364+3429527,,L7.5,,,,19.52,2.83,1.69,16.69,1.96,1.07,0.89,1.96,142.3902,34.498
248.121292,19.077972,51,2MASS J16322911+1904407,,L7.5,,14.83,3.2,18.58,2.81,1.75,15.77,1.8,1.09,0.71,1.8,248.1213,19.078
178.974417,5.999306,54,SDSS J115553.86+055957.5,,L7.5,,,2.81,18.45,2.82,,15.63,1.54,0.89,0.65,1.54,178.9744,5.9993
142.789833,3.459028,53,SDSS J093109.56+032732.5,,L7.5{+/-}1.5,,,2.72,19.28,2.68,,16.6,1.07,0.51,0.56,1.0699999,142.7898,3.459
341.131958,20.728694,52,2MASS J22443167+2043433,,L7.5{+/-}2,,,,,,,16.33,2.43,1.27,1.16,2.4299998,341.132,20.7287
247.627208,43.734444,49,SDSS J163030.53+434404.0,,L7{+/-}1.5,,,2.65,19.45,2.97,,16.48,1.78,0.97,0.81,1.78,247.6272,43.7344
230.844292,30.248944,55,2MASS J15232263+3014562,n,L8,,14.63,,,,1.65,15.95,1.6,0.9,0.7,1.5999999,230.8443,30.2489
8.247333,14.176833,56,SDSS J003259.36+141036.6,,L8,,13.98,,19.4,2.82,1.67,16.58,1.59,0.92,0.67,1.59,8.2473,14.1768
209.849958,47.478667,59,SDSS J135923.99+472843.2,,L8.5,,,,19.76,2.81,,16.95,1.61,0.95,0.66,1.61,209.85,47.4787
134.493542,57.147611,57,SDSS J085758.45+570851.4,,L8{+/-}1,,,2.98,17.77,2.97,1.72,14.8,1.86,1.0,0.86,1.86,134.4935,57.1476
202.95375,-1.280944,58,SDSS J133148.90-011651.4,,L8{+/-}2.5,k,,2.42,18.14,2.82,,15.32,1.25,0.67,0.58,1.25,202.9537,-1.2809
47.749417,16.804306,60,2MASS J03105986+1648155,,L9,,,,,,,15.88,1.7,0.97,0.73,1.7,47.7494,16.8043
52.177708,23.03475,64,2MASS J03284265+2302051,,L9.5,k,13.95,,,,1.71,16.35,1.48,0.88,0.6,1.48,52.1777,23.0347
30.888583,-1.136806,65,SDSS J020333.26-010812.5,,L9.5,,,,20.36,2.53,,17.83,1.65,0.96,0.69,1.65,30.8886,-1.1368
133.145417,47.343056,66,SDSS J085234.90+472035.0,,L9.5{+/-}1,,,3.09,18.9,2.77,,16.13,1.51,0.92,0.59,1.51,133.1454,47.3431
157.611583,2.218444,67,SDSS J103026.78+021306.4,,L9.5{+/-}1,,,,19.94,2.84,,17.1,1.43,0.83,0.6,1.4300001,157.6116,2.2184
311.956708,-7.305083,69,SDSS J204749.61-071818.3,,L9.5{+/-}1,,,,19.74,3.04,,16.7,1.36,0.82,0.54,1.36,311.9567,-7.3051
166.226042,55.8115,68,SDSS J110454.25+554841.4,,L9.5{+/-}1.5,,,,19.94,2.66,,17.28,0.94,0.55,0.39,0.94,166.226,55.8115
127.533833,48.479833,63,SDSS J083008.12+482847.4,,L9{+/-}1,,14.64,3.14,18.08,2.86,1.64,15.22,1.54,0.82,0.72,1.54,127.5338,48.4798
137.158458,50.535778,61,2MASS J09083803+5032088,,L9{+/-}1 k,,,2.84,17.22,2.82,,14.4,1.51,0.86,0.65,1.51,137.1585,50.5358
121.3825,48.209167,62,SDSS J080531.80+481233.0,,L9{+/-}1.5,k,,2.2,17.62,3.01,,14.61,1.1,0.6,0.5,1.1,121.3825,48.2092
115.030417,20.156083,30,SDSS J074007.30+200921.9,,[L3-8],,,,19.78,3.11,,16.67,1.56,0.85,0.71,1.56,115.0304,20.1561
119.235583,23.249583,31,SDSS J075656.54+231458.5,,[L3-8],,,,19.82,3.02,,16.8,1.8,0.98,0.82,1.8,119.2356,23.2496
122.495875,44.572833,43,SDSS J080959.01+443422.2,,[L5-8],,,2.54,19.28,2.91,,16.37,2.06,1.12,0.94,2.06,122.4959,44.5728
127.836708,30.738083,1,SDSS J083120.81+304417.1,,[M-L2],,,1.77,19.68,2.23,,17.45,1.1,0.56,0.54,1.1,127.8367,30.7381
212.061417,5.664694,2,SDSS J140814.74+053952.9,,[M-L2],,,1.77,18.71,2.22,,16.49,1.0,0.54,0.46,1.0,212.0614,5.6647
246.170833,44.696056,3,SDSS J162441.00+444145.8,,[M-L3],,,,20.07,2.51,,17.56,1.1,0.68,0.42,1.1,246.1708,44.6961
