_RAJ2000,_DEJ2000,KOI,KIC,Np,Te.H,R.H,r_R.H,Teff,e_Teff,R,e_R,logL,e_logL,Rp.l,Tp.l,Rp,Tp,H14,Simbad,_RA,_DE
281.0501125,47.1881528,1085.01,10118816,1,3939,0.52,SPE5,3777,97,0.532,0.03,-1.07,0.09,1.05,634,1.07,608,H14,Simbad,281.05011,47.18815
299.6777,45.9723361,1397.01,9427402,1,3957,0.54,PHO2,4104,107,0.624,0.032,-1.21,0.16,2.01,501,2.31,520,H14,Simbad,299.6777,45.97234
290.29455,45.5646111,1408.01,9150827,2,4023,0.57,SPE5,4192,84,0.631,0.029,-0.78,0.07,1.31,462,1.45,482,H14,Simbad,290.29455,45.56461
290.29455,45.5646111,1408.02,9150827,2,4023,0.57,SPE5,4192,84,0.631,0.029,-0.78,0.07,0.8,260,0.89,271,H14,Simbad,290.29455,45.56461
286.5400083,49.437325,1422.01,11497958,5,3517,0.37,SPE5,3580,98,0.426,0.031,-1.5,0.08,1.41,457,1.63,465,H14,Simbad,286.54001,49.43732
286.5400083,49.437325,1422.02,11497958,5,3517,0.37,SPE5,3580,98,0.426,0.031,-1.5,0.08,1.45,303,1.67,309,H14,Simbad,286.54001,49.43732
286.5400083,49.437325,1422.03,11497958,5,3517,0.37,SPE5,3580,98,0.426,0.031,-1.5,0.08,1.13,373,1.3,380,H14,Simbad,286.54001,49.43732
286.5400083,49.437325,1422.04,11497958,5,3517,0.37,SPE5,3580,98,0.426,0.031,-1.5,0.08,1.19,206,1.37,210,H14,Simbad,286.54001,49.43732
286.5400083,49.437325,1422.05,11497958,5,3517,0.37,SPE5,3580,98,0.426,0.031,-1.5,0.08,1.03,254,1.19,258,H14,Simbad,286.54001,49.43732
284.13288,49.1426089,1649.01,11337141,1,3767,0.48,PHO2,3833,102,0.574,0.03,-1.29,0.13,0.98,580,1.18,590,H14,Simbad,284.13288,49.14261
291.285,40.7300528,1681.01,5531953,3,3608,0.4,PHO2,3722,132,0.483,0.033,-1.46,0.09,1.0,470,1.21,485,H14,Simbad,291.285,40.73005
291.285,40.7300528,1681.02,5531953,3,3608,0.4,PHO2,3722,132,0.483,0.033,-1.46,0.09,0.88,1193,1.07,1231,H14,Simbad,291.285,40.73005
291.285,40.7300528,1681.03,5531953,3,3608,0.4,PHO2,3722,132,0.483,0.033,-1.46,0.09,0.78,647,0.95,667,H14,Simbad,291.285,40.73005
297.7292542,42.8669194,1702.01,7304449,1,3304,0.26,PHO2,3334,99,0.339,0.031,-1.91,0.08,0.82,796,1.07,803,H14,Simbad,297.72925,42.86692
285.0131,40.2207528,1843.01,5080636,2,3584,0.45,PHO2,3650,92,0.529,0.031,-1.4,0.09,1.16,536,1.37,546,H14,Simbad,285.0131,40.22075
285.0131,40.2207528,1843.02,5080636,2,3584,0.45,PHO2,3650,92,0.529,0.031,-1.4,0.09,0.73,463,0.85,472,H14,Simbad,285.0131,40.22075
292.6423708,44.0876722,1867.01,8167996,3,3799,0.49,PHO2,3938,112,0.578,0.029,-1.2,0.12,1.13,737,1.33,764,H14,Simbad,292.64237,44.08767
292.6423708,44.0876722,1867.02,8167996,3,3799,0.49,PHO2,3938,112,0.578,0.029,-1.2,0.12,2.01,415,2.36,430,H14,Simbad,292.64237,44.08767
292.6423708,44.0876722,1867.03,8167996,3,3799,0.49,PHO2,3938,112,0.578,0.029,-1.2,0.12,1.01,579,1.18,600,H14,Simbad,292.64237,44.08767
290.7083875,42.23725,1868.01,6773862,1,3950,0.56,PHO2,4163,133,0.627,0.035,-0.94,0.12,2.14,316,2.39,334,H14,Simbad,290.70839,42.23725
296.8768417,41.0805778,1902.01,5809954,1,3763,0.46,PHO16,3737,114,0.49,0.032,-1.36,0.12,18.43,172,19.77,171,H14,Simbad,296.87684,41.08058
282.8599292,42.6657639,1907.01,7094486,1,3901,0.54,PHO2,3851,109,0.591,0.033,-1.24,0.17,2.01,476,2.19,470,H14,Simbad,282.85993,42.66576
287.3467417,47.7729583,2006.01,10525027,1,3809,0.46,PHO2,3792,93,0.592,0.03,-1.24,0.1,0.77,732,1.0,729,H14,Simbad,287.34674,47.77296
296.8566375,41.7581861,2036.01,6382217,2,3903,0.52,PHO2,4060,112,0.589,0.031,-1.03,0.15,1.49,504,1.68,525,H14,Simbad,296.85664,41.75819
296.8566375,41.7581861,2036.02,6382217,2,3903,0.52,PHO2,4060,112,0.589,0.031,-1.03,0.15,0.96,568,1.09,591,H14,Simbad,296.85664,41.75819
284.4765458,46.2525778,2057.01,9573685,1,3900,0.54,PHO2,3997,118,0.585,0.029,-1.02,0.11,1.14,636,1.24,652,H14,Simbad,284.47655,46.25258
291.7262011,37.5289,2130.01,2161536,1,3972,0.56,PHO2,4251,130,0.635,0.037,-0.75,0.09,1.72,367,1.94,392,H14,Simbad,291.7262,37.5289
285.0865417,40.8989972,2191.01,5601258,1,3724,0.46,PHO2,3910,107,0.567,0.03,-1.24,0.11,1.15,584,1.42,613,H14,Simbad,285.08654,40.899
282.2844042,42.1541944,2306.01,6666233,1,3878,0.52,PHO2,4029,89,0.616,0.029,-0.92,0.1,0.94,1546,1.11,1607,H14,Simbad,282.2844,42.15419
292.76995,48.8996194,2329.01,11192235,1,3815,0.5,PHO2,3929,135,0.624,0.036,-1.32,0.13,1.26,983,1.58,1012,H14,Simbad,292.76995,48.89962
292.7733833,44.1781278,2347.01,8235924,1,3972,0.56,PHO2,4084,108,0.609,0.029,-1.25,0.14,1.07,1637,1.16,1684,H14,Simbad,292.77338,44.17813
