PM,Vmag,Jmag,NUV-Ks,FNUV,FFUV,FX,EWHa,logR,fp.AO,fp.Ha,fp.Sa,fp.SW,fp,LSPM,GALEX,1RXS,L13,2M,Simbad,_RA,_DE
I01306-1027,12.63,9.43,11.84,24.98,8.74,2.4E-13,,-6.18,,,,,N,0,1,1,0,2M,Simbad,22.66943,-10.464055
I01312+1654,13.71,9.59,13.4,5.31,,,,-6.79,,,,,N,0,1,0,0,2M,Simbad,22.806999,16.900742
I01339-1738,13.06,8.84,11.66,51.15,12.83,5.8E-13,1.74,-5.96,,No,No,,N,0,1,1,0,2M,Simbad,23.491692,-17.639952
I01361-2652,13.24,9.22,12.21,20.53,4.23,2.6E-13,1.53,-6.16,,No,No,No,N,0,1,1,0,2M,Simbad,24.0364,-26.871162
I01364+4043,13.22,9.73,10.08,96.32,,4.1E-13,2.82,-7.48,No,No,,Yes,D,0,0,1,0,2M,Simbad,24.109173,40.728985
I01376+1835,9.89,7.48,7.65,6488.8,1749.94,5.7E-12,,-4.26,No,,,,N,0,1,1,1,2M,Simbad,24.414124,18.592419
I01396-0702,13.89,9.93,12.19,10.81,,1.6E-13,1.95,-6.16,,No,No,,N,0,1,1,0,2M,Simbad,24.920931,-7.036954
I01410+5308E,13.78,9.96,10.6,45.68,,6.2E-13,,-7.48,Yes,,,No,D,0,0,1,0,2M,Simbad,25.260727,53.140907
I01437-0602,12.98,8.77,11.83,45.88,14.04,1.7E-12,3.76,-6.02,,No,No,,N,0,1,1,0,2M,Simbad,25.938046,-6.044473
I01451-3205,13.8,9.94,11.55,20.5,,,-0.58,-7.48,,Yes,,No,D,0,1,0,0,2M,Simbad,26.298908,-32.085342
I01453+4632,11.42,8.06,11.48,122.74,47.39,4.2E-12,2.38,-7.48,No,No,,No,L,1,1,1,1,2M,Simbad,26.325829,46.535473
I01477-4836,12.43,8.25,13.13,21.35,4.88,3.0E-13,0.6,-6.56,,No,,,N,0,0,1,0,2M,Simbad,26.927294,-48.601562
I01480+4652,12.09,9.28,10.77,66.22,,,-0.78,-5.55,No,No,,No,N,1,0,0,0,2M,Simbad,27.006149,46.870491
I01486+3306,12.5,8.99,11.51,46.94,12.26,7.9E-13,-0.56,-5.87,No,No,,No,N,1,1,1,1,2M,Simbad,27.169367,33.101971
I01490-0636,12.52,9.18,11.55,40.84,,,1.04,-5.98,,No,No,,N,0,0,0,0,2M,Simbad,27.267803,-6.615149
I01491+0624,12.73,9.62,11.54,27.83,5.84,3.4E-13,,-6.03,No,,,,N,0,1,1,0,2M,Simbad,27.277372,6.401057
I01531-2105,11.74,8.07,10.26,399.0,93.2,2.3E-12,1.57,-7.48,,Yes,No,,D,0,1,1,0,2M,Simbad,28.297331,-21.095333
I01538-1459,12.01,7.94,11.05,204.66,40.57,2.9E-12,3.87,-5.71,,No,No,,N,0,1,1,0,2M,Simbad,28.461565,-14.997327
I01562+0006,13.44,9.49,10.93,53.87,19.29,5.7E-13,4.38,-5.66,,No,No,,N,0,1,1,0,2M,Simbad,29.062166,0.102467
I01567-0021,12.68,9.99,9.95,86.46,20.31,4.4E-13,,-7.48,,,,,L,0,1,1,0,2M,Simbad,29.196404,-0.353529
I01568+4142,13.64,9.71,12.31,11.11,,,1.9,-6.16,,No,No,No,N,1,0,0,0,2M,Simbad,29.208092,41.70837
I02002-0840,12.47,8.77,11.24,82.76,20.26,1.4E-12,3.66,-5.83,,No,No,,N,0,1,1,0,2M,Simbad,30.053268,-8.681046
I02024+1034,11.66,8.4,10.75,174.59,55.39,2.0E-12,3.9,-5.61,No,No,No,,N,0,1,1,1,2M,Simbad,30.617666,10.581507
I02028+0447,13.1,8.97,12.17,28.98,6.92,4.8E-13,2.25,-6.2,No,No,,,N,0,1,1,1,2M,Simbad,30.717045,4.784017
I02034+0648,14.14,9.93,13.01,5.31,,,,-6.53,,,,,N,0,0,0,0,2M,Simbad,30.857866,6.800262
I02070+4938,12.13,8.37,12.83,25.86,7.36,,0.71,-6.53,,No,,No,N,1,1,0,1,2M,Simbad,31.766058,49.645454
I02088+4926,12.45,8.42,11.1,122.18,23.0,2.7E-12,5.1,-5.71,No,No,,No,N,1,1,1,1,2M,Simbad,32.223423,49.448971
I02124-0804,11.56,8.65,7.22,3472.57,97.97,,-0.33,-7.48,,Yes,,,D,0,0,0,0,2M,Simbad,33.121899,-8.069308
I02127+5805,13.4,9.77,10.75,48.94,,6.2E-13,2.84,-5.58,No,No,No,No,N,0,0,1,0,2M,Simbad,33.188522,58.091446
I02146+3121,12.43,9.58,10.39,82.37,8.17,6.6E-13,1.3,-5.49,No,No,No,No,N,0,1,1,0,2M,Simbad,33.659924,31.362526
I02165-3058,12.6,8.78,12.49,25.57,,,2.92,-6.38,,No,No,No,N,0,0,0,0,2M,Simbad,34.146278,-30.968706
I02166-3059,12.02,7.99,11.52,125.58,,1.3E-12,1.52,-5.9,,No,No,No,N,0,0,1,0,2M,Simbad,34.171543,-30.988424
I02167+0112,13.65,9.79,12.78,7.38,4.1,,,-6.48,,,,,N,1,1,0,0,2M,Simbad,34.197544,1.212612
I02179+1225,14.09,9.96,10.68,45.17,10.87,7.5E-13,6.29,-5.57,No,No,,,N,0,1,1,0,2M,Simbad,34.483406,12.424052
I02182+4416,13.53,9.81,12.16,13.31,,,-0.32,-6.24,,No,,No,N,1,1,0,0,2M,Simbad,34.552776,44.270023
I02186+1218,12.43,8.8,11.57,57.95,9.75,7.2E-13,2.16,-5.96,No,No,,,N,1,1,1,1,2M,Simbad,34.652393,12.316043
I02208+3320,13.37,9.81,11.05,36.84,,4.3E-13,2.92,-7.48,Yes,No,Yes,Yes,D,1,0,1,0,2M,Simbad,35.211887,33.346584
I02234-2318,14.04,9.86,12.02,14.18,,,1.1,-6.1,,No,,No,N,0,1,0,0,2M,Simbad,35.850044,-23.306833
I02234+2244,11.25,8.18,10.42,284.54,59.04,3.9E-12,0.84,-5.47,No,No,No,,"N,Y",0,1,1,1,2M,Simbad,35.860962,22.735266
I02287+1538,12.44,8.79,12.32,27.95,8.78,,-0.04,-7.48,,No,Yes,,D,1,1,0,1,2M,Simbad,37.195625,15.648204
I02292+1932,12.55,8.96,10.96,86.06,21.73,,3.1,-5.69,No,No,,,N,1,1,0,1,2M,Simbad,37.308918,19.543222
I02296+3423,12.49,9.13,10.79,82.71,15.05,1.2E-12,2.2,-7.48,No,No,No,No,L,0,1,1,0,2M,Simbad,37.401573,34.395317
I02305-1543,13.04,9.28,11.02,60.76,16.86,5.6E-13,2.24,-5.7,,No,No,,N,0,0,1,0,2M,Simbad,37.645424,-15.723592
I02340+2819,12.99,9.6,11.47,29.07,15.56,,1.52,-5.9,No,No,No,No,N,0,0,0,0,2M,Simbad,38.501816,28.324654
I02343-4347,10.0,5.79,10.39,2812.91,640.96,3.4E-11,0.85,-7.48,,No,,No,L,0,1,1,0,2M,Simbad,38.594013,-43.79631
I02344+1922,13.4,9.59,9.96,118.66,42.74,2.0E-13,1.8,-7.48,No,Yes,,,D,0,1,1,0,2M,Simbad,38.616879,19.377508
I02347+1251,13.87,9.89,12.37,10.15,,,1.16,-7.48,Yes,No,No,,D,0,1,0,0,2M,Simbad,38.6987,12.853713
I02353+2334,13.61,9.54,10.54,72.59,16.49,6.0E-13,3.73,-5.46,No,No,No,No,N,0,0,1,0,2M,Simbad,38.84417,23.575195
I02394-0512,12.14,9.64,10.32,73.54,10.97,,0.31,-5.41,,No,,,N,0,1,0,0,2M,Simbad,39.854725,-5.213773
I02408+4452,13.11,9.28,11.55,35.98,,2.8E-13,1.79,-7.48,Yes,No,,No,D,1,0,1,0,2M,Simbad,40.218735,44.876812
I02417-5259,10.28,7.58,10.51,447.38,70.35,5.2E-12,1.19,-5.54,,No,,,"N,Y",0,1,1,0,2M,Simbad,40.445099,-52.997879
I02451-4344,12.34,8.14,13.34,20.63,3.83,,0.67,-6.72,,No,,,N,0,1,0,0,2M,Simbad,41.294621,-43.74231
I02490-1029,12.41,8.82,10.82,116.06,17.82,1.1E-12,2.37,-7.48,,No,No,,L,0,1,1,0,2M,Simbad,42.259541,-10.48947
I02508+6055,12.5,9.26,11.51,38.26,,,-0.36,-5.95,No,No,,,N,0,0,0,0,2M,Simbad,42.705429,60.930229
I02525+2219N,12.32,9.54,10.71,59.68,16.31,4.5E-13,0.84,-5.61,No,No,No,No,N,0,1,1,0,2M,Simbad,43.146603,22.322491
I02537-6135,12.17,8.57,11.35,87.05,20.8,7.4E-13,1.46,-5.86,,No,,,N,0,1,1,0,2M,Simbad,43.445404,-61.588463
I02555-0400,12.16,9.07,11.6,43.23,,,,-6.06,,,,,N,0,0,0,0,2M,Simbad,43.882973,-4.01127
I02560+1220,13.2,9.7,11.49,25.95,,,0.36,-7.48,No,No,Yes,,D,1,1,0,0,2M,Simbad,44.00404,12.346036
I02570+1019,12.76,9.51,10.94,51.82,15.61,7.0E-13,1.63,-5.69,No,No,No,,N,1,1,1,0,2M,Simbad,44.251911,10.318709
I02593-2515,13.03,9.26,9.41,277.23,11.82,,1.96,-7.48,,Yes,No,No,D,0,1,0,0,2M,Simbad,44.849361,-25.258877
I03000+5506,13.17,9.95,11.36,24.35,,2.0E-13,2.23,-5.92,No,No,,No,N,0,1,1,0,2M,Simbad,45.012131,55.114731
I03037-1251,13.38,9.28,13.21,8.47,,,,-6.7,,,,,N,0,1,0,0,2M,Simbad,45.949368,-12.855333
I03043+2118,13.26,9.8,10.91,41.6,5.74,5.6E-13,2.34,-7.48,No,No,No,No,L,0,1,1,0,2M,Simbad,46.09103,21.304216
I03053+2131,13.75,9.7,12.01,16.44,7.97,1.4E-13,,-7.48,Yes,,Yes,No,D,0,1,1,0,2M,Simbad,46.331829,21.522772
I03055+1149N,12.54,9.03,11.84,36.4,12.79,,1.61,-6.11,No,No,,,N,1,1,0,0,2M,Simbad,46.380184,11.832319
I03070+0353,13.64,9.96,11.93,13.83,,2.0E-13,1.63,-6.1,No,No,No,,N,0,0,1,0,2M,Simbad,46.768036,3.883632
I03081-2445,10.23,7.52,10.71,408.54,67.06,8.0E-12,1.04,-7.48,,No,No,,L,0,1,1,0,2M,Simbad,47.027718,-24.759665
I03084+2345,13.12,9.71,11.3,31.7,,1.5E-13,1.51,-5.85,No,No,No,No,N,0,1,1,0,2M,Simbad,47.100491,23.76515
I03094+6732,13.43,9.57,11.85,20.55,,6.7E-13,,-6.01,No,,,,N,0,1,1,0,2M,Simbad,47.360138,67.545143
I03100-2341,13.5,9.41,10.94,57.15,21.8,4.9E-13,4.93,-5.65,,No,No,,N,0,1,1,0,2M,Simbad,47.512772,-23.691935
I03102-1328,13.36,9.8,11.42,26.61,4.87,,1.9,-5.9,,No,No,,N,0,1,0,0,2M,Simbad,47.569408,-13.478793
I03108+1838,12.35,9.64,11.03,41.49,,2.1E-13,0.23,-5.82,No,No,,,N,0,1,1,0,2M,Simbad,47.723206,18.644018
I03119+5456,12.96,9.89,11.13,31.4,4.8,5.2E-13,2.65,-5.81,No,No,,No,N,0,1,1,0,2M,Simbad,47.981979,54.947475
I03144-1329,13.7,9.93,11.45,22.89,7.98,,1.97,-5.91,,No,No,,N,0,1,0,0,2M,Simbad,48.620251,-13.496288
I03150+2445,12.06,9.47,10.83,59.18,,2.5E-13,0.05,-5.75,No,No,,No,N,0,1,1,0,2M,Simbad,48.772697,24.759682
I03156+3724,13.21,9.32,11.03,60.76,14.55,1.1E-12,2.85,-5.74,No,No,No,No,N,1,1,1,0,2M,Simbad,48.907726,37.403954
I03172+4552,13.33,9.94,11.54,20.46,,3.5E-13,1.45,-5.96,No,No,No,No,N,0,1,1,0,2M,Simbad,49.303337,45.882778
I03189-3623,11.88,8.21,11.72,82.16,17.44,6.5E-13,1.22,-5.98,,No,,No,N,0,1,1,0,2M,Simbad,49.742691,-36.392944
I03241+2347,10.42,7.13,11.84,207.65,45.48,3.8E-12,0.25,-6.14,,No,,No,N,1,1,1,1,2M,Simbad,51.026966,23.785046
I03270+8532,13.1,9.19,12.57,15.24,,,,-6.36,,,,,N,0,0,0,0,2M,Simbad,51.753422,85.535049
I03272+2723,11.67,8.64,11.52,70.2,,8.1E-13,0.71,-7.48,No,No,No,No,L,0,0,1,1,2M,Simbad,51.809788,27.38575
I03314+0455,13.63,9.71,10.79,50.56,18.67,6.3E-13,3.05,-5.6,No,No,No,,N,0,0,1,0,2M,Simbad,52.857319,4.918842
I03319-4359,10.96,8.3,10.84,172.0,23.18,1.4E-12,0.45,-7.48,,No,,Yes,D,0,1,1,0,2M,Simbad,52.981892,-43.987095
I03322+4914S,11.94,8.99,11.23,66.7,,6.9E-13,1.25,-5.9,No,No,,No,N,0,0,1,1,2M,Simbad,53.055439,49.239174
I03340+5835,11.54,8.29,11.88,65.03,,,-0.46,-6.13,,No,,No,N,1,0,0,1,2M,Simbad,53.502098,58.598606
I03340+3328,13.32,9.36,13.15,7.36,,,,-6.61,,,,No,N,0,0,0,0,2M,Simbad,53.504375,33.468456
I03341+7438N,13.67,9.66,12.91,7.18,,,,-6.5,,,,,N,2,1,0,0,2M,Simbad,53.548702,74.649895
I03375+1751N,12.76,9.1,12.43,19.84,,1.1E-12,,-7.48,,,,,L,1,0,1,0,2M,Simbad,54.388939,17.854036
I03394+2458,12.87,8.81,12.81,17.64,,3.9E-13,1.32,-6.46,,No,,No,N,1,0,1,1,2M,Simbad,54.87381,24.967419
I03412-2252,13.18,9.98,10.53,50.88,10.73,1.8E-12,,-7.48,,,,No,"N,R",0,1,1,0,2M,Simbad,55.317215,-22.878874
I03419+1845,13.32,9.71,12.07,15.25,,,0.42,-6.18,No,No,No,,N,0,1,0,0,2M,Simbad,55.481209,18.75997
I03433-0819,13.57,9.86,11.5,22.81,,1.6E-13,1.56,-5.91,,No,No,,N,0,1,1,0,2M,Simbad,55.847191,-8.328148
I03434-0615,13.34,9.69,12.41,11.56,,,,-6.34,,,,,N,0,1,0,0,2M,Simbad,55.860138,-6.250571
I03462+1709W,12.87,9.69,10.94,45.09,8.37,1.7E-12,1.34,-5.72,,No,No,,N,0,1,1,0,2M,Simbad,56.558334,17.154848
I03471+4009,13.19,9.6,11.11,41.02,,,-2.63,-7.48,No,Yes,,No,D,0,1,0,0,2M,Simbad,56.793594,40.157478
I03473-0158,11.54,7.8,11.58,142.39,,3.2E-12,1.85,-5.96,,No,No,,N,0,0,1,0,2M,Simbad,56.847244,-1.972164
I03480+4032,12.71,9.35,10.91,65.72,7.78,2.6E-13,1.01,-5.71,No,No,No,,N,0,1,1,0,2M,Simbad,57.024536,40.539627
I03506-0353,12.97,9.83,10.73,49.36,12.26,2.8E-13,1.33,-5.64,,No,No,,N,0,0,1,0,2M,Simbad,57.665043,-3.898532
I03575+2445,13.0,9.59,11.57,27.58,,2.1E-13,0.53,-5.98,No,No,,No,N,0,0,1,0,2M,Simbad,59.391407,24.752939
I03592+8020,13.49,9.94,10.97,33.11,,3.3E-13,,-7.48,,,,,L,0,1,1,0,2M,Simbad,59.809917,80.3339
I04024+2441,12.99,9.35,11.92,25.44,,,0.54,-6.13,No,No,,No,N,1,0,0,0,2M,Simbad,60.601795,24.6901
I04032-3609,13.34,9.77,11.7,19.7,,4.6E-13,1.99,-5.97,,No,,,N,0,1,1,0,2M,Simbad,60.81609,-36.160107
I04059+7116E,13.63,9.53,11.72,24.78,,7.5E-13,0.13,-5.97,,No,,,N,1,0,1,0,2M,Simbad,61.489586,71.278008
I04060+1815,13.08,9.49,12.02,20.53,,,-3.08,-7.48,,Yes,,,D,0,1,0,0,2M,Simbad,61.509327,18.250927
I04063+1107,13.03,9.74,10.64,54.87,,4.0E-13,3.57,-5.55,,No,No,,N,0,0,1,0,2M,Simbad,61.579205,11.125186
I04068+0053,12.94,9.99,10.9,34.75,,3.4E-13,0.6,-5.71,,No,,,N,0,1,1,0,2M,Simbad,61.70911,0.889101
I04086+0334,11.79,9.29,10.34,109.37,10.56,7.3E-13,1.25,-5.49,,No,No,,N,1,0,1,0,2M,Simbad,62.170452,3.578095
I04093+1759,12.69,9.99,10.76,39.02,,2.9E-13,0.77,-5.68,No,No,No,,N,0,1,1,0,2M,Simbad,62.326,17.998629
I04129-1418,12.76,9.51,11.18,43.45,,4.7E-13,,-5.84,,,,,N,0,0,1,0,2M,Simbad,63.2323,-14.316386
I04166+4121,12.88,9.9,11.53,19.79,,,,-5.97,No,,,No,N,0,0,0,0,2M,Simbad,64.151451,41.355946
I04176-2419,12.9,9.3,11.54,36.46,11.09,4.5E-13,,-5.93,,,,No,N,0,1,1,0,2M,Simbad,64.404343,-24.33007
I04185-4527,12.78,9.39,11.23,47.34,5.4,,1.93,-5.86,,No,,,N,0,1,0,0,2M,Simbad,64.646805,-45.456566
I04192+1138,12.74,9.81,11.21,31.21,,,0.22,-5.88,No,No,,,N,0,1,0,0,2M,Simbad,64.822762,11.647876
I04219+2325,13.93,9.88,13.25,4.67,,1.1E-13,,-6.73,,,,No,"N,Y",0,1,1,0,2M,Simbad,65.482811,23.418247
I04220+6032,13.69,9.81,11.34,28.6,,,0.39,-7.48,No,Yes,,,D,1,1,0,0,2M,Simbad,65.523689,60.536961
I04221-2849,10.93,8.18,10.61,232.62,33.23,2.0E-12,1.36,-5.58,,No,No,,N,0,1,1,0,2M,Simbad,65.534676,-28.818089
I04284+1741,12.12,8.59,11.06,112.32,36.72,1.2E-12,2.45,-7.48,Yes,No,Yes,,D,0,0,1,1,2M,Simbad,67.119995,17.695923
I04299+1654,12.82,9.52,11.68,26.72,,3.6E-13,0.47,-6.06,No,No,,,"N,Y",0,1,1,0,2M,Simbad,67.482262,16.914024
I04306+2254,13.02,9.25,10.93,68.42,14.7,5.2E-13,2.26,-5.67,No,No,No,No,N,0,1,1,0,2M,Simbad,67.659134,22.908041
I04310+3647,13.32,9.45,11.75,26.25,,2.6E-13,2.13,-6.0,No,No,No,No,N,0,1,1,0,2M,Simbad,67.750031,36.79855
I04312+4217,11.92,8.35,11.39,99.76,,1.4E-12,2.61,-5.85,No,No,,No,N,0,0,1,1,2M,Simbad,67.812462,42.286381
I04314+1743,12.63,9.06,12.18,25.0,,,,-6.24,,,,,"N,Y",0,0,0,0,2M,Simbad,67.871117,17.718674
I04333+2359,12.66,8.91,11.49,56.72,15.53,1.9E-12,1.74,-7.48,Yes,No,Yes,No,D,0,1,1,1,2M,Simbad,68.349083,23.990826
I04350+0839,11.87,8.83,11.24,75.12,14.75,8.7E-13,0.62,-5.87,No,No,No,,N,0,0,1,1,2M,Simbad,68.760658,8.658471
I04356-2527,12.41,8.24,10.83,183.74,43.31,1.6E-12,4.09,-5.59,,No,No,,N,0,0,1,0,2M,Simbad,68.900795,-25.459711
I04360+1853,13.89,9.77,10.79,47.67,15.38,5.1E-13,2.63,-5.59,,No,No,,N,0,0,1,0,2M,Simbad,69.017387,18.888594
I04369-1613,13.21,9.12,10.51,112.43,34.63,2.9E-12,8.23,-5.48,,No,,,N,0,1,1,0,2M,Simbad,69.239128,-16.2185
I04378+0126,12.37,9.68,10.14,91.05,13.9,6.5E-13,1.19,-5.36,,No,No,,N,0,0,1,0,2M,Simbad,69.46386,1.44328
I04414+1404,13.39,9.58,10.77,58.37,20.23,1.1E-12,3.01,-5.6,No,No,No,,N,0,0,1,0,2M,Simbad,70.365913,14.076104
I04425+2027,13.28,9.4,11.33,41.95,,6.0E-13,2.18,-7.48,No,No,No,No,L,0,1,1,0,2M,Simbad,70.626244,20.453194
I04427+6437,13.43,9.73,10.72,53.54,6.78,5.1E-13,4.32,-5.59,No,No,,,N,0,0,1,0,2M,Simbad,70.685776,64.628082
I04439+3723W,13.32,9.71,11.2,36.19,,4.9E-13,,-7.48,No,,,Yes,D,0,1,1,0,2M,Simbad,70.986954,37.384243
I04453+1334,13.09,9.37,10.61,87.16,17.71,8.6E-13,2.92,-7.48,Yes,No,No,,D,0,1,1,0,2M,Simbad,71.331787,13.574263
I04468-1116,12.25,8.14,11.68,93.24,21.73,1.7E-12,2.75,-7.48,,No,No,,L,0,0,1,0,2M,Simbad,71.715607,-11.279915
I04480-5041,11.68,8.74,11.08,91.12,15.69,1.2E-12,1.11,-7.48,,No,,,"N,R",0,1,1,0,2M,Simbad,72.002846,-50.690441
I04487+1003,12.09,8.13,12.98,27.84,,8.7E-13,0.59,-6.55,,No,No,,N,0,0,1,1,2M,Simbad,72.197456,10.050717
I04499+2341E,11.44,8.24,10.55,244.12,,3.1E-12,1.63,-5.54,No,No,No,No,N,0,0,1,1,2M,Simbad,72.484795,23.684078
I04506-3116,11.58,8.8,10.61,135.28,29.73,9.9E-13,1.0,-5.59,,No,No,,N,0,1,1,0,2M,Simbad,72.673119,-31.274904
I04510+3127,12.95,9.01,11.55,47.41,5.97,1.4E-12,,-5.91,No,,,No,N,1,1,1,0,2M,Simbad,72.755875,31.456614
I04523+1043,12.8,9.63,11.63,25.03,,3.7E-13,0.55,-6.06,No,No,No,,N,0,0,1,0,2M,Simbad,73.099403,10.719429
I04524-1649,11.64,7.74,10.99,254.96,56.43,3.1E-12,3.75,-5.68,,No,No,,N,0,1,1,0,2M,Simbad,73.101768,-16.822834
I04540+2200,12.46,9.54,11.2,39.98,,1.8E-13,0.53,-7.48,Yes,No,No,No,D,0,1,1,0,2M,Simbad,73.523628,22.015118
I04556-1917,13.09,9.78,10.44,65.3,5.51,6.3E-13,,-5.48,,,,,N,0,1,1,0,2M,Simbad,73.918106,-19.298733
I04575-0357,12.83,9.64,10.93,47.6,9.87,,1.87,-5.7,,No,No,,N,0,1,0,0,2M,Simbad,74.377007,-3.950149
I04581+7908,12.64,9.66,10.96,43.98,6.27,2.8E-13,,-5.72,,,,,N,1,1,1,0,2M,Simbad,74.527802,79.135353
I04591+1651,13.94,9.82,11.01,36.53,24.73,4.9E-13,4.9,-5.67,No,No,No,,N,0,1,1,0,2M,Simbad,74.781891,16.865204
I04595-1246,12.87,9.45,11.98,21.74,,,,-6.2,,,,,N,0,1,0,0,2M,Simbad,74.887169,-12.774614
I04599-0333E,13.89,9.76,11.22,32.35,16.96,5.6E-13,,-7.48,,,,,L,0,1,1,0,2M,Simbad,74.993996,-3.553404
I05007-5715,10.16,7.09,11.27,359.45,58.31,2.9E-12,1.2,-5.88,,No,,,"N,Y",0,1,1,0,2M,Simbad,75.196388,-57.257076
I05024-2115,9.23,5.45,12.82,389.72,8.1,1.5E-13,-0.41,-6.54,,No,,No,N,0,1,1,0,2M,Simbad,75.618439,-21.256613
I05049-4538,12.4,9.59,10.77,55.33,,,-0.33,-5.65,,No,,,N,0,0,0,0,2M,Simbad,76.245125,-45.63747
I05091+1527,12.52,8.77,11.68,50.31,12.07,1.4E-12,2.49,-5.95,No,No,,,N,1,0,1,1,2M,Simbad,77.291519,15.459178
I05111+1548,12.08,8.97,11.69,44.14,,4.6E-13,0.23,-6.12,No,No,,,N,0,1,1,1,2M,Simbad,77.790459,15.815954
I05124+1824,12.86,9.47,12.14,18.5,,,-0.1,-6.29,,No,,,N,0,1,0,0,2M,Simbad,78.100342,18.402414
I05136+2315,12.26,9.6,10.47,69.34,,,,-5.49,No,,,No,N,0,0,0,0,2M,Simbad,78.410309,23.26313
I05160-7214,11.71,8.21,8.85,1190.53,21.38,,0.03,-7.48,,Yes,,,D,0,1,0,0,2M,Simbad,79.001633,-72.236839
I05224+3742,12.5,9.14,11.41,48.92,,,-0.29,-5.92,No,No,,No,N,1,0,0,0,2M,Simbad,80.60569,37.704178
I05228+2016,12.2,8.63,11.74,54.71,,5.7E-13,0.62,-7.48,Yes,No,Yes,No,D,0,0,1,1,2M,Simbad,80.708923,20.276703
I05256-0909,12.57,8.45,11.88,57.28,,1.5E-12,3.8,-7.48,,No,,,L,0,0,1,0,2M,Simbad,81.423622,-9.153481
I05262+5050,13.53,9.89,11.29,26.0,6.81,3.7E-13,3.79,-5.79,No,No,,No,N,0,1,1,0,2M,Simbad,81.566124,50.840202
I05270+2041,12.04,9.26,10.48,100.91,,3.5E-13,0.55,-7.48,No,No,,Yes,D,0,0,1,0,2M,Simbad,81.762756,20.697441
I05303-5358,11.83,7.91,11.59,131.83,34.18,2.1E-12,1.18,-7.48,,No,,,L,0,0,1,0,2M,Simbad,82.577454,-53.980083
I05314+2142S,12.91,9.23,11.61,36.36,,6.1E-13,3.63,-5.96,No,No,,No,N,1,0,1,0,2M,Simbad,82.854027,21.706545
I05320-0305,11.39,7.88,10.74,288.22,,3.7E-12,3.3,-7.48,,No,,,L,0,0,1,0,2M,Simbad,83.018776,-3.091493
I05333+4448,12.25,8.2,12.49,42.63,23.21,6.0E-13,1.95,-6.33,No,No,,No,N,1,1,1,1,2M,Simbad,83.329727,44.816307
I05334-5117,11.78,8.99,10.79,95.84,,4.2E-13,0.37,-7.48,,No,,,"N,R,Y",0,0,1,0,2M,Simbad,83.356621,-51.287029
I05337+0156,11.53,7.76,11.22,214.19,,3.7E-12,4.02,-5.82,,No,No,,N,1,0,1,1,2M,Simbad,83.436676,1.94542
I05341+4732,12.27,8.75,11.55,61.0,9.32,1.4E-12,1.46,-5.95,No,No,,No,N,0,1,1,1,2M,Simbad,83.54435,47.534256
I05364+5336,11.66,9.37,10.28,101.3,26.36,4.1E-13,0.87,-5.47,No,No,,No,N,0,1,1,0,2M,Simbad,84.103188,53.60601
I05437-1041,13.27,9.64,12.57,10.68,,,-0.16,-6.47,,No,,,N,0,0,0,0,2M,Simbad,85.93454,-10.698348
I05501+0511,12.61,9.37,11.22,48.28,,5.5E-13,1.56,-5.86,No,No,No,,N,0,0,1,0,2M,Simbad,87.535774,5.198244
I06012+5201,12.16,9.45,11.04,49.37,,,,-5.82,No,,,No,N,0,0,0,0,2M,Simbad,90.300591,52.032875
I06024-1634,12.1,8.99,11.19,65.58,13.1,8.1E-13,1.47,-7.48,,No,Yes,,D,0,1,1,0,2M,Simbad,90.602295,-16.580412
I06088+4257,13.71,9.86,11.98,14.76,,3.3E-13,-3.74,-7.48,Yes,Yes,,No,D,1,0,1,0,2M,Simbad,92.200623,42.955002
I06142-0035,11.9,8.76,11.52,62.41,,2.0E-12,1.24,-6.01,,No,,,N,0,0,1,0,2M,Simbad,93.555344,-0.597745
I06181+7506,11.31,8.04,10.78,236.01,61.33,2.9E-12,3.09,-5.63,,No,,,N,0,1,1,1,2M,Simbad,94.530396,75.100922
I06212+4414,11.79,8.72,11.33,74.99,14.26,1.8E-12,2.19,-7.48,Yes,No,,No,D,1,0,1,1,2M,Simbad,95.304245,44.241791
I06241-0016,13.53,9.69,11.92,18.04,,,0.48,-6.08,,No,No,,N,0,0,0,0,2M,Simbad,96.042183,-0.275126
I06268+4202,13.18,9.94,11.61,18.68,4.64,8.3E-14,0.99,-6.0,No,No,No,No,N,0,1,1,0,2M,Simbad,96.714355,42.044472
I06272+4138,14.03,9.85,12.72,7.31,,,-0.15,-6.39,,No,,,N,1,0,0,0,2M,Simbad,96.803375,41.637314
I06277+1000,13.09,9.86,11.28,27.46,,,,-5.86,,,,,N,0,0,0,0,2M,Simbad,96.933548,10.014461
I06298-0247,13.62,9.47,11.23,41.74,,8.3E-13,2.84,-7.48,,No,No,,L,0,0,1,0,2M,Simbad,97.459549,-2.79603
I06310+5002,11.12,7.87,11.22,176.3,32.48,2.4E-12,1.96,-5.8,No,No,,No,N,1,1,1,1,2M,Simbad,97.754807,50.046787
I06393-4917N,13.24,9.39,12.28,16.76,,,-0.31,-6.24,,No,,,N,0,1,0,0,2M,Simbad,99.834221,-49.291595
I06397+4303,13.65,9.91,10.92,36.59,5.07,1.6E-13,1.52,-5.64,No,No,No,No,N,0,0,1,0,2M,Simbad,99.943993,43.051567
I06438+5108,12.38,8.36,12.82,25.87,4.64,3.1E-13,0.35,-7.48,,No,Yes,No,D,1,1,1,1,2M,Simbad,100.957115,51.138905
