PM,Vmag,Jmag,NUV-Ks,FNUV,FFUV,FX,EWHa,logR,fp.AO,fp.Ha,fp.Sa,fp.SW,fp,LSPM,GALEX,1RXS,L13,2M,Simbad,_RA,_DE
I22146-2141,10.42,7.54,11.09,271.68,46.03,1.8E-12,1.12,-7.48,,No,No,Yes,D,0,1,1,0,2M,Simbad,333.659882,-21.698139
I22169+1823,12.01,9.07,11.32,52.07,9.7,2.6E-13,0.25,-5.89,,No,,,N,0,1,1,0,2M,Simbad,334.247589,18.399092
I22187+3321,12.95,9.33,11.77,29.86,,3.6E-13,1.57,-7.48,No,No,No,No,L,0,1,1,0,2M,Simbad,334.677734,33.353806
I22204-0727,13.39,9.8,11.08,35.71,,4.0E-13,2.29,-5.75,,No,No,,N,0,0,1,0,2M,Simbad,335.1008,-7.459494
I22234+3227,10.76,6.9,7.38,15415.87,,9.1E-12,5.08,-7.48,Yes,Yes,,No,D,1,1,1,1,2M,Simbad,335.871185,32.459461
I22257+6905,14.08,9.86,11.47,23.6,,1.0E-12,4.68,-5.87,,No,,,N,0,0,1,0,2M,Simbad,336.4263,69.091667
I22268+5328,13.33,9.86,11.94,14.57,,,,-6.11,,,,,N,1,0,0,0,2M,Simbad,336.716675,53.476551
I22274-3500,13.84,9.77,12.82,7.54,2.72,,,-6.5,,,,No,N,0,1,0,0,2M,Simbad,336.863037,-35.014069
I22278-0113,13.45,9.47,11.05,51.13,,6.3E-13,4.6,-5.73,,No,No,,N,0,0,1,0,2M,Simbad,336.953491,-1.231325
I22280-0411,13.84,9.82,13.19,4.85,,,,-6.64,,,,,N,0,1,0,0,2M,Simbad,337.004974,-4.199656
I22312+1709,13.15,9.52,12.12,17.47,,,,-6.2,,,,,N,1,1,0,0,2M,Simbad,337.813782,17.162382
I22328+4810,13.54,9.51,11.61,27.49,,2.3E-13,1.89,-5.9,No,No,No,No,N,1,0,1,0,2M,Simbad,338.207214,48.17881
I22333-0936,12.37,8.53,11.3,93.24,31.84,2.4E-12,4.32,-7.48,,No,No,,L,0,1,1,0,2M,Simbad,338.344421,-9.614936
I22342+3128,13.55,9.74,11.25,32.72,6.59,5.0E-13,2.83,-5.81,No,No,No,No,N,0,1,1,0,2M,Simbad,338.568665,31.479923
I22384-6522,11.46,7.27,11.29,296.49,93.74,2.9E-12,3.02,-7.48,,No,,,L,0,1,1,0,2M,Simbad,339.623688,-65.378479
I22387-2037,9.38,5.67,11.42,1179.31,226.59,2.7E-11,1.22,-7.48,,No,No,No,L,0,1,1,0,2M,Simbad,339.689819,-20.621122
I22399+3218,14.02,9.97,11.42,19.67,,,-0.79,-7.48,No,Yes,,No,D,0,0,0,0,2M,Simbad,339.995209,32.306477
I22400+6423,13.33,9.63,11.27,34.67,,4.1E-13,1.59,-5.8,,No,,,N,1,0,1,0,2M,Simbad,340.001617,64.386955
I22415+2602,12.99,9.04,11.46,49.08,9.58,3.0E-13,2.04,-5.86,No,No,No,No,N,0,1,1,0,2M,Simbad,340.399078,26.036932
I22428-7142,10.42,7.79,10.66,345.98,54.73,5.2E-12,0.79,-5.69,,No,,,"N,Y",0,0,1,0,2M,Simbad,340.703857,-71.705894
I22430-2007,13.76,9.7,12.65,9.06,,,,-6.39,,,,,N,0,0,0,0,2M,Simbad,340.75824,-20.121731
I22437+1916,13.14,9.24,12.07,23.24,,,1.16,-6.13,No,No,No,,N,0,1,0,0,2M,Simbad,340.932404,19.281734
I22486-3108,12.37,8.41,12.9,25.34,18.53,,-0.27,-6.58,,No,,No,N,0,1,0,0,2M,Simbad,342.159973,-31.144773
I22492+0908W,13.8,9.84,12.94,6.56,,,,-6.61,,,,,N,0,1,0,0,2M,Simbad,342.307739,9.147794
I22494-2608,12.39,9.19,10.17,142.81,26.73,5.0E-13,,-5.36,,,,No,N,0,1,1,0,2M,Simbad,342.370544,-26.139679
I22499+1744E,12.78,9.71,10.38,68.6,9.15,2.4E-13,2.04,-5.4,No,No,,,N,0,0,1,0,2M,Simbad,342.484283,17.744831
I22503+1944,13.78,9.96,12.51,8.12,,,0.22,-6.36,,No,,,N,1,0,0,0,2M,Simbad,342.579498,19.749229
I22518+3145,11.66,7.7,11.3,194.49,47.57,3.5E-12,4.3,-5.78,No,No,,No,N,1,0,1,1,2M,Simbad,342.972992,31.754221
I22561-0009,12.4,9.48,6.12,4680.43,4713.08,4.7E-13,2.97,-7.48,,Yes,,,D,0,1,1,0,2M,Simbad,344.034088,-0.166616
I22582-1104,12.96,9.07,11.97,30.03,3.07,7.5E-13,2.17,-6.09,,No,,,N,0,1,1,0,2M,Simbad,344.568512,-11.071409
I23006-2604,13.05,9.54,11.31,34.29,,,-0.23,-5.79,,No,,No,N,0,1,0,0,2M,Simbad,345.152863,-26.08214
I23030+3706,13.86,9.98,10.76,39.0,7.84,9.5E-13,4.13,-7.48,No,No,No,Yes,D,0,0,1,0,2M,Simbad,345.767395,37.103878
I23045+4014,13.13,9.85,11.21,29.6,,3.7E-13,1.33,-5.81,No,No,No,No,N,0,1,1,0,2M,Simbad,346.141907,40.243835
I23060+6355,10.87,7.82,10.89,258.89,,3.7E-12,2.05,-5.69,,No,,,"N,Y",1,0,1,1,2M,Simbad,346.520111,63.92622
I23063+1236,11.44,8.38,11.03,134.83,24.71,1.8E-12,1.6,-7.48,No,No,,,L,1,1,1,1,2M,Simbad,346.599304,12.607404
I23064-0029E,12.74,9.08,11.53,48.48,,,0.26,-5.98,,No,,,N,0,1,0,0,2M,Simbad,346.615814,-0.493717
I23083-1524,11.03,7.98,10.68,277.19,37.8,3.0E-12,0.79,-5.61,,No,No,,N,0,1,1,0,2M,Simbad,347.081451,-15.409946
