FilterID,Wavelength,Obs.Flux,Obs.Error,Flux,Error,FluxMod,Fitted,Excess,FitExc,UpLim
Misc/UCAC.B,4297.169,6.791021E-15,6.254761E-17,6.791021E-15,6.254761E-17,7.28355E-15,1,0,,
Misc/UCAC.sdss_g,4640.42,1.090768E-14,2.009269E-16,1.090768E-14,2.009269E-16,1.1018742E-14,1,0,,
GAIA/GAIA0.Gbp,5044.3657,1.3039974E-14,3.8432833E-17,1.3039974E-14,3.8432833E-17,1.3690746E-14,1,0,,
Misc/UCAC.V,5394.2915,1.5281155E-14,7.037232E-16,1.5281155E-14,7.037232E-16,1.5490869E-14,1,0,,
GAIA/GAIA0.G,5857.555,3.0706608E-14,2.2625464E-17,3.0706608E-14,2.2625464E-17,3.0508653E-14,1,0,,
Misc/UCAC.sdss_r,6122.3296,2.0616433E-14,1.3291906E-15,2.0616433E-14,1.3291906E-15,1.7523477E-14,1,0,,
Misc/UCAC.sdss_i,7439.49,4.5557572E-14,3.356806E-15,4.5557572E-14,3.356806E-15,4.2390624E-14,1,0,,
GAIA/GAIA0.Grp,7692.1694,4.5264018E-14,9.171734E-17,4.5264018E-14,9.171734E-17,4.6275467E-14,1,0,,
2MASS/2MASS.J,12350.0,4.982021E-14,9.636083E-16,4.982021E-14,9.636083E-16,4.8985128E-14,1,0,,
2MASS/2MASS.H,16620.0,3.3008813E-14,6.3844706E-16,3.3008813E-14,6.3844706E-16,3.144452E-14,1,0,,
2MASS/2MASS.Ks,21590.0,1.5737947E-14,2.4641814E-16,1.5737947E-14,2.4641814E-16,1.4406197E-14,1,0,,
WISE/WISE.W1,33526.0,3.425187E-15,6.94037E-17,3.425187E-15,6.94037E-17,3.2217137E-15,1,0,,
WISE/WISE.W2,46028.0,1.1410828E-15,1.9968545E-17,1.1410828E-15,1.9968545E-17,1.1016466E-15,1,0,,
WISE/WISE.W3,115608.0,3.4128804E-17,6.601096E-19,3.4128804E-17,6.601096E-19,3.4350184E-17,1,0,,
WISE/WISE.W4,220883.0,3.0138824E-18,6.689891E-19,3.0138824E-18,6.689891E-19,2.8178662E-18,1,0,,
