FilterID,Wavelength,W_eff
Misc/UCAC.B,4297.169,843.1
Misc/UCAC.sdss_g,4640.42,1158.4
GAIA/GAIA0.Gbp,5044.3,2333.1
Misc/UCAC.V,5394.2915,870.6
GAIA/GAIA0.G,5857.6,4203.6
Misc/UCAC.sdss_r,6122.3296,1111.2
Misc/UCAC.sdss_i,7439.49,1044.6
GAIA/GAIA0.Grp,7692.2,2842.1
2MASS/2MASS.J,12350.0,1624.2
2MASS/2MASS.H,16620.0,2509.4
2MASS/2MASS.Ks,21590.0,2618.9
WISE/WISE.W1,33526.0,6626.4
WISE/WISE.W2,46028.0,10422.7
WISE/WISE.W3,115608.0,55055.7
WISE/WISE.W4,220883.0,41016.8
